Year,Country,TotalEmissions,PerCapitaEmissions,ShareOfGlobalEmissions,AverageTemperature
1750,United Kingdom,9.350528,,100.0,9.144182
1750,Europe,9.350528,,100.0,8.590636
1751,United Kingdom,9.350528,,100.0,8.831875
1751,Europe,9.350528,,100.0,8.684375
1752,Europe,9.354192,,100.0,3.3956666
1752,United Kingdom,9.354192,,100.0,6.255167
1753,United Kingdom,9.354192,,100.0,8.426084
1753,Europe,9.354192,,100.0,7.73625
1754,United Kingdom,9.357856,,100.0,8.338833
1754,Europe,9.357856,,100.0,7.7073336
1755,Europe,9.36152,,100.0,7.4589167
1755,United Kingdom,9.36152,,100.0,8.054833
1756,Europe,10.006384,,100.0,8.06125
1756,United Kingdom,10.006384,,100.0,8.536083
1757,Europe,10.010048,,100.0,7.9573336
1757,United Kingdom,10.010048,,100.0,8.501583
1758,United Kingdom,10.013712,,100.0,7.698167
1758,Europe,10.013712,,100.0,6.6908336
1759,Europe,10.017376,,100.0,7.798333
1759,United Kingdom,10.017376,,100.0,8.682083
1760,United Kingdom,10.017376,,100.0,8.033167
1760,Europe,10.017376,,100.0,7.263417
1761,Europe,10.97368,,100.0,8.135667
1761,United Kingdom,10.97368,,100.0,8.763833
1762,United Kingdom,10.977344,,100.0,8.0915
1762,Europe,10.977344,,100.0,7.701083
1763,Europe,10.981008,,100.0,7.20375
1763,United Kingdom,10.981008,,100.0,7.779667
1764,Europe,10.984672,,100.0,7.914167
1764,United Kingdom,10.984672,,100.0,8.13225
1765,Europe,10.988336,,100.0,7.6713333
1765,United Kingdom,10.988336,,100.0,7.91625
1766,United Kingdom,12.259744,,100.0,8.144083
1766,Europe,12.259744,,100.0,7.8974166
1767,United Kingdom,12.263408,,100.0,8.103
1767,Europe,12.263408,,100.0,7.429
1768,United Kingdom,12.267072,,100.0,8.035334
1768,Europe,12.267072,,100.0,6.9035
1769,Europe,12.270736,,100.0,7.559167
1769,United Kingdom,12.270736,,100.0,8.1241665
1770,Europe,12.2744,,100.0,7.4995
1770,United Kingdom,12.2744,,100.0,7.95
1771,Europe,13.61176,,100.0,7.250583
1771,United Kingdom,13.61176,,100.0,7.885083
1772,United Kingdom,13.615424,,100.0,8.156166
1772,Europe,13.615424,,100.0,8.188917
1773,Europe,13.619088,,100.0,8.141833
1773,United Kingdom,13.619088,,100.0,8.248083
1774,Europe,13.622752,,100.0,7.7795
1774,United Kingdom,13.622752,,100.0,8.053583
1775,Europe,13.626416,,100.0,8.668917
1775,United Kingdom,13.626416,,100.0,8.989
1776,United Kingdom,15.037056,,100.0,8.159083
1776,Europe,15.037056,,100.0,7.6563334
1777,Europe,15.04072,,100.0,7.4680834
1777,United Kingdom,15.04072,,100.0,8.2595005
1778,United Kingdom,15.044384,,100.0,8.729584
1778,Europe,15.044384,,100.0,8.16925
1779,United Kingdom,15.048048,,100.0,9.651334
1779,Europe,15.048048,,100.0,8.800167
1780,United Kingdom,15.055376,,100.0,8.763833
1780,Europe,15.055376,,100.0,7.92025
1781,Europe,16.843409,,100.0,8.337167
1781,United Kingdom,16.843409,,100.0,9.337916
1782,United Kingdom,16.847073,,100.0,7.32875
1782,Europe,16.847073,,100.0,7.19025
1783,Europe,16.8544,,100.0,8.080833
1783,United Kingdom,16.8544,,100.0,8.619166
1784,Europe,16.858065,,100.0,7.1034164
1784,United Kingdom,16.858065,,100.0,7.4009166
1785,United Kingdom,16.865393,,99.97828,7.7753334
1785,Canada,0.003664,,0.02172,
1785,North America,0.003664,,0.02172,
1785,Europe,16.865393,,99.97828,6.774833
1786,Canada,0.003664,,0.019131,
1786,North America,0.003664,,0.019131,
1786,United Kingdom,19.148064,,99.980865,7.592417
1786,Europe,19.148064,,99.980865,7.0715003
1787,Europe,19.155392,,99.98087,7.9393334
1787,United Kingdom,19.155392,,99.98087,8.610666
1787,North America,0.003664,,0.019124,
1787,Canada,0.003664,,0.019124,
1788,North America,0.003664,,0.01912,
1788,Canada,0.003664,,0.01912,
1788,United Kingdom,19.159056,,99.98088,8.543834
1788,Europe,19.159056,,99.98088,7.6598334
1789,United Kingdom,19.166384,,99.98089,8.460667
1789,Canada,0.003664,,0.019113,
1789,North America,0.003664,,0.019113,
1789,Europe,19.166384,,99.98089,7.889
