Year,France_TotalEmissions,France_PerCapitaEmissions,Germany_TotalEmissions,Germany_PerCapitaEmissions,UnitedKingdom_TotalEmissions,UnitedKingdom_PerCapitaEmissions
1900,129.27692,3.181916,326.7592,5.89808,419.7405,11.047036
1901,125.004684,3.070847,325.5574,5.786253,410.70142,10.699739
1902,117.66203,2.884608,319.18936,5.586771,426.63983,11.002196
1903,129.34286,3.166813,343.59894,5.922925,429.98505,10.979498
1904,125.997635,3.080605,356.12247,6.047073,431.99292,10.923855
1905,127.42659,3.111108,382.32373,6.395668,437.67212,10.961554
1906,136.56827,3.328902,361.93726,5.965843,453.35037,11.246623
1907,145.59637,3.545367,442.18253,7.184102,473.56833,11.639569
1908,146.71388,3.566643,446.6416,7.153507,461.96445,11.246342
1909,150.09576,3.642255,445.57172,7.033417,466.08646,11.241155
1910,150.61238,3.647269,445.36652,6.935753,469.73212,11.23629
1911,156.90714,3.791507,458.58624,7.044236,481.35068,11.416821
1912,158.57793,3.82437,499.12106,7.57807,455.88586,10.747775
1913,171.11246,4.120908,535.08325,8.028111,498.32233,11.673061
1914,118.35086,2.870426,497.9266,7.400976,483.18268,11.232165
1915,103.2332,2.536129,462.9061,6.842784,489.48108,11.297836
1916,109.68917,2.743915,500.6966,7.411302,507.07196,11.648892
1917,121.60449,3.091982,524.57855,7.80124,501.16925,11.492368
1918,108.45074,2.785577,503.4226,7.703606,466.84857,10.708428
1919,116.14147,2.990506,387.4277,6.08323,456.13135,10.451041
1920,151.77754,3.884765,429.20828,6.874174,470.01425,10.724621
1921,137.9093,3.508206,473.17996,7.522806,319.8049,7.245594
1922,163.15059,4.119496,455.46085,7.186026,428.2227,9.63791
1923,184.18929,4.609112,331.92908,5.205512,454.8929,10.173707
1924,206.63495,5.11985,451.79318,7.037623,475.9829,10.591039
1925,213.82738,5.254992,458.06595,7.085517,449.65707,9.958202
1926,213.73212,5.22562,413.2369,6.347668,246.37102,5.437124
1927,213.03961,5.190035,481.0429,7.342015,466.735,10.261052
1928,211.61916,5.140368,504.85703,7.661242,437.6397,9.590417
1929,234.28209,5.660089,538.9416,8.133799,460.6738,10.060066
1930,237.63419,5.703782,461.7107,6.931457,441.07364,9.597326
1931,217.49355,5.194117,385.58017,5.759722,412.21246,8.926329
1932,191.77542,4.569715,347.3062,5.16318,395.89972,8.532724
1933,199.38705,4.747687,364.8379,5.396823,392.1545,8.416143
1934,201.35007,4.79138,408.61978,6.009434,423.20364,9.047932
1935,195.37233,4.648393,452.33282,6.608473,429.1069,9.13754
1936,198.07907,4.713542,499.63443,7.248164,453.79596,9.620653
1937,217.705,5.179743,563.5126,8.107151,468.13077,9.880762
1938,201.79846,4.801668,601.27264,8.568931,448.94,9.41531
1939,194.61702,4.665282,648.6255,9.154574,452.45636,9.427188
1940,137.73709,3.365389,654.325,9.160647,475.14386,9.850407
1941,119.90896,2.990824,660.7932,9.183303,469.6515,9.709048
1942,122.495735,3.10713,667.8994,9.256781,468.8999,9.655978
1943,125.245674,3.195841,679.4302,9.433496,454.82034,9.314791
1944,79.98644,2.035774,600.27313,8.48861,442.02457,9.004569
1945,107.16564,2.69793,116.06453,1.687985,417.6244,8.482808
1946,165.24516,4.098735,271.68243,4.026553,436.12823,8.828534
1947,183.62411,4.502001,317.66003,4.700967,461.269,9.285232
1948,196.50055,4.771191,377.81638,5.49922,475.5632,9.503016
1949,229.05092,5.510055,432.14804,6.219554,485.1087,9.623309
1950,202.42886,4.83886,510.68182,7.299,500.7921,9.893949
1951,228.91586,5.446358,576.86554,8.205769,545.2528,10.775321
1952,227.18802,5.368844,610.9806,8.651665,528.7061,10.438217
1953,214.73874,5.034316,623.492,8.790244,540.21075,10.644337
1954,226.56804,5.265962,659.73193,9.261605,553.0097,10.866552
1955,239.23094,5.510837,723.4984,10.113625,576.95166,11.298599
1956,268.77045,6.135051,766.1908,10.663607,574.32355,11.202816
1957,277.84146,6.283021,777.90765,10.776882,570.7142,11.082689
1958,266.48715,5.967154,756.37915,10.425913,556.31586,10.749026
1959,262.2895,5.810835,755.79456,10.359737,546.60614,10.502366
1960,271.36084,5.941384,813.9502,11.087125,584.02,11.151592
1961,281.37335,6.081512,834.8396,11.292604,588.6148,11.16323
1962,298.86655,6.37147,883.1686,11.856363,592.9315,11.164426
1963,334.2264,7.027321,945.498,12.593039,603.3857,11.278026
1964,345.5381,7.17122,968.9175,12.803328,607.86597,11.28122
1965,352.1116,7.223247,960.10223,12.590184,622.11163,11.469398
1966,347.60477,7.060402,951.422,12.385082,618.07465,11.32648
1967,372.4753,7.501869,936.22943,12.102711,592.057,10.790767
1968,385.10104,7.698172,984.79083,12.650337,606.4883,11.000459
1969,413.75946,8.211631,1052.0009,13.44221,628.38257,11.349201
1970,439.62506,8.660174,1026.0223,13.057374,652.5774,11.742706
1971,463.1314,9.052077,1037.2361,13.164565,660.3883,11.845742
1972,481.58795,9.337986,1041.4795,13.199659,648.0264,11.594261
1973,517.5423,9.956566,1085.7362,13.755337,659.57733,11.776905
1974,499.96835,9.549217,1062.7244,13.46755,617.1839,11.003064
1975,447.74817,8.497944,1002.4439,12.712335,603.2474,10.743115
1976,506.6147,9.564362,1090.8365,13.846266,598.52637,10.65221
1977,481.9079,9.056887,1052.6041,13.377103,604.3621,10.753009
1978,506.74066,9.48544,1079.1272,13.733897,604.714,10.758887
1979,530.28076,9.886473,1117.8821,14.251793,644.5133,11.467188
1980,506.25497,9.398065,1100.0594,14.052342,579.03595,10.301482
1981,455.6496,8.419091,1048.5166,13.423934,560.555,9.970563
1982,438.05563,8.053826,1015.72687,13.034505,548.24097,9.748066
1983,423.99707,7.754862,1011.59717,13.00755,545.4858,9.692873
1984,407.34122,7.41092,1033.2366,13.30085,529.1089,9.392521
1985,402.48764,7.284185,1044.1101,13.439094,559.62805,9.920021
1986,387.44568,6.975347,1047.4633,13.4625,568.5548,10.058822
1987,379.70926,6.800195,1032.4338,13.233617,571.6685,10.089811
1988,374.67456,6.675597,1029.0144,13.140603,570.29486,10.038105
1989,392.9246,6.966254,1008.7815,12.82458,581.57733,10.207767
1990,400.9833,7.076135,1052.3485,13.311768,600.4795,10.51002
1991,426.50085,7.493778,1014.1997,12.758674,608.57916,10.622596
1992,415.70886,7.274378,965.88983,12.079209,593.09265,10.324351
1993,394.97253,6.884653,956.2331,11.889158,578.84216,10.048994
1994,390.8153,6.78652,939.63025,11.62434,575.1079,9.956337
1995,397.45554,6.876155,939.1767,11.574911,566.81134,9.78408
1996,413.1973,7.122617,959.12415,11.793863,588.4442,10.125688
1997,406.1874,6.976648,931.23004,11.440313,562.5613,9.648263
1998,425.46497,7.279874,923.2759,11.342038,567.8137,9.704558
1999,421.705,7.183582,895.64294,11.004336,560.9515,9.55364
2000,416.26593,7.053561,899.7802,11.053675,567.5039,9.63128
2001,420.84808,7.086894,916.36615,11.250106,576.19543,9.745542
2002,415.83832,6.953469,899.82104,11.03601,560.3006,9.444436
2003,422.6412,7.014559,900.8664,11.038136,571.77057,9.599748
2004,423.63058,6.979317,886.966,10.863557,573.2158,9.573862
2005,426.77917,6.982644,866.38855,10.617116,569.9274,9.453414
2006,416.00375,6.763299,877.9974,10.776677,567.52765,9.331114
2007,405.1944,6.549231,851.3833,10.474954,559.2488,9.100134
2008,397.72507,6.393369,854.70636,10.543339,544.812,8.766788
2009,381.59912,6.101388,790.19574,9.767561,494.29422,7.867294
2010,389.38626,6.19253,832.66974,10.301876,512.0237,8.068448
2011,362.5039,5.733825,809.42694,10.010722,469.8038,7.338162
2012,363.80908,5.723508,813.8931,10.051414,487.79584,7.559796
2013,365.8312,5.725596,831.3163,10.241164,477.90097,7.354133
2014,333.92215,5.201766,792.6849,9.732165,439.0575,6.711057
2015,338.50067,5.251899,795.81635,9.730353,422.4906,6.41498
2016,341.02567,5.273484,800.5103,9.739279,399.10962,6.019934
2017,345.92126,5.334751,786.65454,9.51698,388.08838,5.816062
2018,331.72543,5.104175,755.36237,9.087175,380.13855,5.66171
2019,323.74713,4.970784,701.9551,8.404937,369.8784,5.477246
