Year,TotalEmissions,LandAverageTemperature,LandMaxTemperature,LandMinTemperature,LandAndOceanAverageTemperature
1750,37.40211,8.719363,,,
1751,37.40211,7.976143,,,
1752,37.416767,5.7798333,,,
1753,37.416767,8.388083,,,
1754,37.431423,8.469334,,,
1755,37.44608,8.355583,,,
1756,40.025536,8.849584,,,
1757,40.04019,9.022,,,
1758,40.054848,6.743583,,,
1759,40.069504,7.985083,,,
1760,40.069504,7.185167,,,
1761,43.89472,8.7725,,,
1762,43.909374,8.6065,,,
1763,43.92403,7.49675,,,
1764,43.938686,8.400333,,,
1765,43.953342,8.251917,,,
1766,49.038975,8.405666,,,
1767,49.05363,8.2215,,,
1768,49.068287,6.7813334,,,
1769,49.082943,7.6945834,,,
1770,49.0976,7.6919165,,,
1771,54.44704,7.8531666,,,
1772,54.461697,8.1935,,,
1773,54.476353,8.2215,,,
1774,54.49101,8.772166,,,
1775,54.505665,9.183084,,,
1776,60.148224,8.304,,,
1777,60.16288,8.25625,,,
1778,60.177536,8.54225,,,
1779,60.192192,8.98325,,,
1780,60.221504,9.432917,,,
1781,67.373634,8.102583,,,
1782,67.38829,7.90125,,,
1783,67.4176,7.6808333,,,
1784,67.43226,7.862,,,
1785,67.472565,7.363,,,
1786,76.60325,8.258166,,,
1787,76.63256,8.031834,,,
1788,76.64722,8.447166,,,
1789,76.67653,8.334167,,,
1790,76.70584,7.982333,,,
1791,85.675316,8.23425,,,
1792,87.5806,8.089,,,
1793,87.65388,8.229167,,,
1794,87.52197,8.526,,,
1795,87.56594,8.350333,,,
1796,91.80152,8.271,,,
1797,96.37419,8.510583,,,
1798,100.37528,8.67025,,,
1799,105.71006,8.50575,,,
1800,111.85825,8.48425,,,
1801,111.30133,8.589666,,,
1802,146.54901,8.578167,,,
1803,125.35643,8.503,,,
1804,136.56827,8.844833,,,
1805,132.9922,8.56275,,,
1806,139.51413,8.434083,,,
1807,146.73953,8.281417,,,
1808,139.47017,7.6268334,,,
1809,139.55078,7.0764165,,,
1810,148.68146,6.9226665,,,
1811,157.43108,6.8595,,,
1812,163.05899,7.04625,,,
1813,163.83577,7.739917,,,
1814,167.38983,7.59175,,,
1815,172.74661,7.239333,,,
1816,189.32986,6.9375,,,
1817,196.28415,6.9756665,,,
1818,197.00961,7.8289165,,,
1819,198.26271,7.369167,,,
1820,201.1646,7.61625,,,
1821,204.08113,8.090083,,,
1822,212.12727,8.1883335,,,
1823,224.39435,7.7186666,,,
1824,232.06677,8.547167,,,
1825,240.75044,8.389334,,,
1826,243.04411,8.356584,,,
1827,260.7632,8.80875,,,
1828,263.35733,8.165334,,,
1829,261.987,7.9418335,,,
1830,352.30948,8.51675,,,
1831,333.57864,7.639167,,,
1832,334.39304,7.4501667,,,
1833,340.167,8.013,,,
1834,347.17502,8.14675,,,
1835,353.1473,7.3925,,,
1836,409.63885,7.695833,,,
1837,408.15128,7.3756666,,,
1838,422.1111,7.514917,,,
1839,435.41144,7.63225,,,
1840,463.96866,7.79625,,,
1841,478.04575,7.6881666,,,
1842,504.1774,8.02275,,,
1843,515.8802,8.173667,,,
1844,547.0755,7.646333,,,
1845,598.4301,7.8511667,,,
1846,605.7288,8.55275,,,
1847,659.4357,8.086,,,
1848,661.6561,7.9795,,,
1849,697.55597,7.9844165,,,
1850,747.9246,7.9006667,19.233,-3.206,14.8671665
1851,745.88416,8.178583,17.361,-3.242,14.991834
1852,776.5372,8.100166,17.795,-2.755,15.0065
1853,808.4103,8.041833,19.308,-4.015,14.955167
1854,954.1129,8.2105,20.426,-4.109,14.991
1855,964.1471,8.11075,19.012,-4.947,15.021083
1856,1028.9135,7.995917,18.386,-3.727,14.8793335
1857,1037.2307,7.758167,18.717,-5.407,14.75825
1858,1052.2726,8.10025,18.968,-4.148,14.8815
1859,1112.9531,8.252,19.444,-3.422,14.929916
1860,1225.3782,7.9608335,19.163,-3.232,14.882916
1861,1296.997,7.8465,19.37,-3.256,14.800667
1862,1318.8566,7.5585833,20.663,-4.346,14.740084
1863,1398.9894,8.111834,18.408,-2.586,14.93575
1864,1508.3975,7.9835835,18.909,-3.848,14.8965
1865,1608.3258,8.177834,19.111,-3.212,14.996667
1866,1660.9298,8.292167,20.369,-2.953,15.057
1867,1761.5009,8.436334,20.032,-3.678,15.058666
1868,1795.3605,8.247916,20.504,-3.478,15.096916
1869,1894.4064,8.432083,19.825,-3.173,15.0655
1870,1929.7933,8.201333,20.29,-3.527,15.0043335
1871,2054.4504,8.115084,19.837,-3.677,15.005917
1872,2248.6277,8.193833,19.705,-3.418,15.019333
1873,2378.3733,8.351084,19.974,-3.719,15.04925
1874,2218.3413,8.4335,19.82,-3.764,14.957
1875,2425.4478,7.8595834,20.534,-4.717,14.921917
1876,2470.019,8.080083,19.855,-3.325,14.909416
1877,2494.973,8.539583,20.733,-3.162,15.282666
1878,2517.8787,8.82975,20.308,-3.083,15.357417
1879,2655.0435,8.165833,19.637,-3.531,15.064417
1880,2998.386,8.11875,20.037,-3.767,15.008667
1881,3090.415,8.270917,20.295,-3.687,15.087167
1882,3235.4937,8.128917,19.832,-3.067,15.056583
1883,3432.1416,7.976917,20.457,-4.519,14.96325
1884,3446.6443,7.773667,19.569,-4.118,14.83325
1885,3466.9253,7.919667,20.205,-4.621,14.854417
1886,3498.0024,7.9545,20.004,-3.884,14.83525
1887,3657.6453,7.9149165,19.899,-4.678,14.816
1888,3981.1094,8.0905,20.063,-4.299,14.994083
1889,4053.6995,8.319,20.315,-4.053,15.113417
1890,4345.0522,7.971667,19.718,-4.24,14.84075
1891,4530.577,8.019333,19.849,-4.465,14.943833
1892,4526.1895,8.065833,19.82,-3.93,14.8825
1893,4447.2427,8.05675,20.005,-5.345,14.91225
1894,4689.2896,8.161,19.851,-4.039,14.91475
1895,4908.97,8.147,19.614,-4.319,14.969
1896,5095.2563,8.214916,19.886,-3.408,15.090584
1897,5341.5063,8.293333,20.297,-3.573,15.075334
1898,5590.509,8.178,20.145,-3.651,14.886917
1899,6049.145,8.396334,20.168,-3.442,15.048333
1900,6372.196,8.501583,19.897,-4.102,15.143917
1901,6489.383,8.541917,20.34,-3.491,15.073334
1902,6596.787,8.304417,20.2,-3.031,14.958333
1903,7077.101,8.220166,19.787,-3.187,14.836583
1904,7182.2866,8.090917,19.678,-3.86,14.810416
1905,7556.6035,8.225166,19.877,-3.951,14.954667
1906,7893.057,8.379084,20.058,-3.637,15.031917
1907,8865.833,7.9471664,19.626,-3.867,14.874833
1908,8702.304,8.186084,19.748,-3.548,14.838166
1909,8928.639,8.17825,19.787,-4.298,14.790334
1910,9259.414,8.223,19.952,-3.27,14.819083
1911,9459.633,8.177,19.987,-3.969,14.776
1912,9881.834,8.165417,19.729,-3.305,14.877167
1913,10703.85,8.29775,20.256,-3.657,14.90875
1914,9658.839,8.5905,20.065,-2.551,15.07625
1915,9400.041,8.593166,20.553,-3.416,15.14375
1916,10059.652,8.22525,20.012,-3.402,14.901334
1917,10340.489,8.023334,20.083,-3.782,14.80975
1918,9968.675,8.130834,19.916,-3.802,14.959833
1919,8627.773,8.38225,20.146,-3.396,15.00675
1920,10034.631,8.35875,20.121,-3.109,15.02625
1921,8939.774,8.571,20.42,-2.816,15.102083
1922,9524.336,8.408,20.098,-3.684,15.012333
1923,10293.504,8.422167,19.81,-3.195,15.027833
1924,10719.67,8.506833,20.057,-3.502,15.039333
1925,10736.815,8.534416,19.971,-3.314,15.090333
1926,10166.93,8.728833,19.998,-2.307,15.241083
1927,11570.826,8.522083,20.237,-3.512,15.12225
1928,11552.55,8.632167,20.005,-2.631,15.13225
1929,12435.056,8.242416,19.652,-3.883,14.967417
1930,11561.605,8.633583,20.252,-3.169,15.1725
1931,10469.398,8.71925,20.399,-3.123,15.22825
1932,9550.572,8.70525,20.093,-3.23,15.188
1933,9995.108,8.33825,20.037,-3.453,15.012917
1934,10905.232,8.628333,20.14,-3.131,15.1445
1935,11447.864,8.51575,20.173,-3.618,15.118834
1936,12448.634,8.554,20.443,-3.53,15.166166
1937,13377.592,8.698334,20.154,-3.216,15.3005
1938,12875.892,8.863667,20.249,-2.597,15.293083
1939,13478.202,8.760333,20.26,-2.771,15.302333
1940,14617.61,8.764667,20.408,-3.35,15.372084
1941,14655.76,8.768666,20.578,-3.01,15.384666
1942,14288.332,8.728416,20.107,-2.883,15.325334
1943,14491.196,8.755083,20.394,-3.283,15.345
1944,14436.342,8.845,20.493,-2.123,15.449083
1945,11325.718,8.584833,20.189,-3.044,15.33075
1946,12968.053,8.676917,20.265,-2.547,15.26275
1947,14529.015,8.797083,20.126,-2.992,15.310166
1948,15390.477,8.74675,20.334,-2.613,15.261167
1949,15491.87,8.58675,20.128,-3.003,15.22275
1950,17145.912,8.36525,19.882,-3.622,15.1395
1951,18327.377,8.625667,20.225,-3.661,15.311167
1952,18690.734,8.63825,20.416,-2.579,15.363083
1953,19231.256,8.87375,20.254,-2.629,15.421083
1954,19886.191,8.560667,20.015,-3.581,15.230583
1955,21755.48,8.62625,19.959,-2.71,15.174334
1956,23187.674,8.279583,19.952,-3.131,15.106
1957,24043.78,8.7325,19.828,-2.97,15.3740835
1958,24637.004,8.77375,20.121,-1.949,15.382083
1959,25702.574,8.732667,20.236,-2.406,15.3405
1960,27192.178,8.58375,19.884,-2.623,15.291917
1961,27556.395,8.797667,20.014,-2.383,15.379916
1962,28729.16,8.745916,20.054,-2.509,15.325583
1963,30494.635,8.856,20.229,-2.679,15.376667
1964,32079.848,8.409667,20.065,-2.613,15.117084
1965,33482.758,8.527416,19.869,-2.822,15.19575
1966,34912.44,8.599334,20.392,-3.041,15.264667
1967,36019.2,8.700084,20.142,-2.869,15.294167
1968,37984.957,8.516334,19.734,-3.062,15.263917
1969,40453.543,8.595083,20.024,-3.298,15.3905
1970,43533.04,8.700916,20.254,-2.584,15.332666
1971,45319.094,8.59925,19.984,-2.723,15.2
1972,47308.22,8.499583,20.037,-3.549,15.292916
1973,49809.582,8.94825,20.112,-2.308,15.40475
1974,49788.984,8.4675,19.925,-2.926,15.168083
1975,49854.71,8.744833,20.051,-2.257,15.238667
1976,52621.367,8.34725,19.852,-2.452,15.1310835
1977,53838.81,8.85025,20.327,-2.648,15.40825
1978,55706.957,8.69275,19.911,-2.52,15.300917
1979,57289.223,8.733417,19.945,-2.759,15.414166
1980,57151.305,8.980333,20.466,-2.457,15.491834
1981,55536.82,9.165833,20.398,-1.41,15.516167
1982,55188.844,8.639167,20.311,-2.777,15.341917
1983,55616.332,9.028167,20.139,-1.65,15.52025
1984,56925.04,8.6918335,20.109,-2.452,15.344167
1985,59061.055,8.658,19.757,-2.853,15.340667
1986,59731.8,8.833583,19.987,-2.011,15.384
1987,61051.207,8.994416,20.667,-2.344,15.5245
1988,63008.64,9.201583,20.466,-2.031,15.55575
1989,63785.938,8.922,20.361,-2.598,15.441584
1990,65312.5,9.234167,20.401,-1.939,15.6293335
1991,65365.06,9.179417,20.643,-1.907,15.598
1992,63238.48,8.836583,19.853,-1.655,15.453
1993,63262.547,8.866583,20.228,-1.919,15.466416
1994,63001.32,9.03875,20.421,-2.768,15.535
1995,63920.79,9.347083,20.803,-1.769,15.637834
1996,65570.86,9.038917,20.65,-2.512,15.524667
1997,65517.242,9.202583,20.26,-2.134,15.713834
1998,65174.383,9.522667,20.972,-1.776,15.826
1999,65825.21,9.285084,20.578,-1.732,15.600333
2000,67526.07,9.201167,20.665,-2.322,15.610666
2001,68289.74,9.414583,20.923,-2.078,15.7675
2002,69510.59,9.570416,21.199,-1.322,15.829166
